,match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent,pemain
46,Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,2021-11-03 00:00:00,RCMF,94,90,72,80,0,0,4,2,50,41,67,65,97,5,5,100,0,0,0,0,0,0,5,3,60,0,0,0,2,2,0,0,5,2,40,modric
47,Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,2021-10-19 00:00:00,RCMF3,78,86,70,81,0,1,1,0,0,1,70,65,93,1,1,100,0,0,0,2,0,0,10,4,40,1,1,100,7,7,3,43,7,3,43,modric
48,Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,2021-09-28 00:00:00,RCMF,32,44,36,82,0,0,2,1,50,19,37,35,95,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,2,1,50,modric
49,Internazionale - Real Madrid 0:1,Europe. UEFA Champions League,2021-09-15 00:00:00,LCMF3,81,89,72,81,0,0,1,0,0,0,70,65,93,2,1,50,0,0,0,3,1,33,8,5,63,1,1,100,3,8,3,38,3,1,33,modric
50,Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,2021-05-05 00:00:00,"RCMF, RCMF3",95,112,94,84,0,0,1,1,100,7,91,83,91,9,7,78,3,2,67,3,2,67,15,7,47,2,0,0,3,13,3,23,8,2,25,modric
51,Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,2021-04-27 00:00:00,"AMF, RCMF3, RWF",94,85,64,75,0,0,0,0,0,0,60,56,93,6,5,83,0,0,0,2,1,50,17,5,29,0,0,0,2,6,2,33,2,0,0,modric
52,Liverpool - Real Madrid 0:0,Europe. UEFA Champions League,2021-04-14 00:00:00,"LCMF, RCMF",96,93,56,60,0,0,1,0,0,23,58,47,81,9,6,67,1,0,0,5,3,60,19,8,42,1,0,0,5,8,3,38,4,3,75,modric
53,Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,2021-04-06 00:00:00,"RCMF, RCMF3",95,77,58,75,0,1,0,0,0,0,49,44,90,8,7,88,0,0,0,0,0,0,15,10,67,0,0,0,2,6,2,33,7,3,43,modric
54,Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,2021-03-16 00:00:00,RCMF,95,125,100,80,0,1,1,0,0,5,93,89,96,3,2,67,0,0,0,3,2,67,18,7,39,0,0,0,7,5,0,0,15,4,27,modric
55,Atalanta - Real Madrid 0:1,Europe. UEFA Champions League,2021-02-24 00:00:00,RCMF3,96,119,99,83,0,1,3,0,0,6,102,93,91,5,4,80,5,2,40,1,1,100,12,4,33,1,1,100,2,10,0,0,12,8,67,modric
56,Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,LDMF,71,62,46,74,0,0,2,0,0,2,31,28,90,1,0,0,1,0,0,0,0,0,17,14,82,2,1,50,4,4,2,50,7,2,29,kroos
57,Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,DMF,86,70,58,83,0,0,1,0,0,0,54,50,93,5,5,100,0,0,0,1,0,0,11,7,64,1,0,0,6,2,0,0,8,1,13,kroos
58,Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,DMF,78,73,60,82,0,0,0,0,0,0,51,48,94,3,2,67,0,0,0,0,0,0,8,5,63,0,0,0,1,2,2,100,3,1,33,kroos
59,Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,DMF,84,102,87,85,0,0,1,0,0,0,76,72,95,4,4,100,0,0,0,0,0,0,16,12,75,2,1,50,3,6,2,33,12,3,25,kroos
60,Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,LCMF3,85,83,69,83,0,0,1,1,100,4,66,57,86,10,7,70,2,2,100,1,1,100,11,8,73,0,0,0,3,9,2,22,6,4,67,kroos
61,Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,0,7,22,19,86,0,0,0,0,0,0,20,18,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,kroos
